Left context;Center;Right context;Publ_year;Sphere;Type;Medium;Full context
  Представить его веселящимся ; без удержу ; было невозможно, поэтому, если ;2002 ;публицистика, нехудожественная ;мемуары ;книга ; Представить его веселящимся без удержу было невозможно, поэтому, если Женя шёл куда-то играть в футбол или рассказывал анекдот, это воспринималось как невероятное событие.  [Сати Спивакова. Не всё (2002)] [омонимия снята]
  Я всегда сорила деньгами ; без удержу ;, как сумасшедшая, и вышла ;1974 ;художественная ;пьеса ;книга ; Я всегда сорила деньгами без удержу, как сумасшедшая, и вышла замуж за человека, который делал одни только долги.  [А. П. Чехов. Вишневый сад (1904)] [омонимия снята]
  Старик говорил ; без удержу ; и невпопад, но я ;2010 ;художественная ;роман ;книга ; Старик говорил без удержу и невпопад, но я заслушивался эпохой, это походило на то, как если б вы спустились под воду за утраченным кольцом ? и, кроме него, обнаружили затонувший древний город, целехонький.  [Александр Иличевский. Перс (2009)] [омонимия не снята]
 время могли с Гюнелькой кривляться ; без удержу ;, навесив на себя гирлянды ;2010 ;художественная ;роман ;книга ; Зная наизусть весь неореализм, мы обожествляли Анну Маньяни, умели насвистать любую тему Майлса из «Лифта на эшафот» и в то же время могли с Гюнелькой кривляться без удержу, навесив на себя гирлянды золотых шаров и подвядших тюльпанов.  [Александр Иличевский. Перс (2009)] [омонимия не снята]
 неземное с виду существо «пьет ; без удержу ;, ругается, как грузчик, и ;2007 ;публицистика, нехудожественная ;статья ;журнал ; Он страдал, видя, как это неземное с виду существо «пьет без удержу, ругается, как грузчик, и тем охотнее смеется, чем непристойнее шутки».  [Маргарита Ломунова. Счастья миг златой и горькие утраты // «Наука и религия», 2007] [омонимия не снята]
 до оазиса, то начинает пить ; без удержу ;.  ;2005 ;публицистика ,  нехудожественная ;статья ;журнал ; Когда же он доберется до оазиса, то начинает пить без удержу.  [Михаил Георгиади. В компании с «кораблем пустыни» // «Знание - сила», 2005] [омонимия не снята]
 о молочных реках, о воле ; без удержу ;, о празднике была одной ;2003;публицистика ,  нехудожественная ;статья ;газета ;  В деятельности русских бунтовщиков и революционеров ? нелегальных кружках и тайных сборищах, зажигательных речах и песнях ? он видел инстинкт разрушения и преступную праздность: «… разве не исконная мечта о молочных реках, о воле без удержу, о празднике была одной из главных причин русской революционности?»  . [Элла Кричевская. «Все в этом непостижимом для нас мире непременно должно иметь какой-то смысл» (2003) // «Вестник США», 2003.11.12] [омонимия не снята]
 причина запоя.   Отец пил лихо, ; без удержу ;.  Пил месяца по три ;2002 ;публицистика ,  нехудожественная ;мемуары ;книга ; А нужда для русского человека первая причина запоя.   Отец пил лихо, без удержу.  Пил месяца по три ? гулял во всю силу своего здоровья!  [Георгий Жженов. Прожитое (2002)] [омонимия не снята]
 радоваться праздникам.  И предаваться им ; без удержу ;.  И не чувствовать при ;2002;публицистика ,  нехудожественная ;заметка ;журнал ;  Тогда можно позволить себе и радоваться праздникам.  И предаваться им без удержу.  И не чувствовать при этом за собой вины.  [Ксения Махненко. Обращение (2002) // «Домовой», 2002.12.04] [омонимия не снята]
 издатели изощряются (на радость читателям) ; без удержу ;.  ;2002;публицистика ,  нехудожественная ;обзор ;журнал ; На самом деле их так сейчас много, что издатели изощряются (на радость читателям) без удержу.  [Как зима, так хочешь лета (2002) // «Домовой», 2002.01.04] [омонимия не снята]
 щебету, тем более что та ; без удержу ; рассказывала уморительные штуки и ;2002 ;художественная ;роман ;книга ; Даже Шурка, в мечтах уж копошащийся в кровати в другом крыле дома и отсчитывающий минуты до вечернего свидания, довольно быстро купился на Манькин легкий и жизнерадостный нрав, поддался неумолчному щебету, тем более что та без удержу рассказывала уморительные штуки и все мы покатывались со смеху.  [Николай Климонтович. Далее ? везде (2001)] [омонимия не снята]
 гнавший диссидентскую волну и перший ; без удержу ; на баррикады: я думаю ;2002 ;художественная ;роман ;книга ; Но дураком был и сам Тоша, вместо перевода верленов все гнавший диссидентскую волну и перший без удержу на баррикады: я думаю теперь, что у него был комплекс ? перед друзьями, а еще пуще перед женой, ? так скажем, непосадки.  [Николай Климонтович. Далее ? везде (2001)] [омонимия не снята]
 от отца ирландский темперамент, который ; без удержу ; проявлял вне трассы.  ;2001 ;публицистика ,  нехудожественная ;статья ;журнал ; Ирвайн в полной мере унаследовал от отца ирландский темперамент, который без удержу проявлял вне трассы.  [Владимир Маккавеев, Михаил Козлов. Адская смесь (2001) // «Формула», 2001.02.15] [омонимия не снята]
 жалела себя, и слезы текли ; без удержу ;.  ;2000 ;художественная ;повесть ;книга ;  А Ленусик чем больше сдерживалась, тем сильнее и горше жалела себя, и слезы текли без удержу.  [Екатерина Маркова. Тайная вечеря (1990-2000)] [омонимия не снята]
  А я ? человек, живущий ; без удержу ;, на грани риска и ;2000;публицистика ,  нехудожественная ;интервью ;газета ; А я ? человек, живущий без удержу, на грани риска и азарта.  [Татьяна Секридова. Что наша жизнь? (2000) // «Поле чудес», 2000.01.15] [омонимия не снята]
 вдруг разволновался до слез, разговорился ; без удержу ; и рассказал Маарет про ;1999 ;художественная ;роман ;книга ; В этих невысоких горах, на гудящем ветру, в окружении больших облаков, низко и неспешно плывущих к югу, он вдруг разволновался до слез, разговорился без удержу и рассказал Маарет про другие горы, про виноградники на склонах, овечьи отары в поднебесье, про волны теплого моря, стаи дельфинов на горизонте и протяжные, печально зовущие за собой гудки ослепительно-белых кораблей…  [Андрей Дмитриев. Закрытая книга (1999)] [омонимия не снята]
  Машины ; без удержу ; неслись навстречу друг другу ;2001 ;художественная ;повесть, цикл ;книга ; Машины без удержу неслись навстречу друг другу…  [Сергей Каледин. Записки гробокопателя (1987-1999)] [омонимия не снята]
 сиденья саперную лопатку, спрыгнул и ; без удержу ; принялся выбивать из овечьих ;1999 ;художественная ;повесть ;книга ; А потом выхватил из-под сиденья саперную лопатку, спрыгнул и без удержу принялся выбивать из овечьих шкур пылищу.  [Олег Павлов. Степная книга (1990-1998)] [омонимия не снята]
 звери: ой, гуляй, моя люба!  ; без удержу ;.  Без препон.  ;1998 ;художественная ;роман ;книга ; Чтобы хлопцы ? звери, и кони ? звери: ой, гуляй, моя люба!  Без удержу.  Без препон.  [Ирина Ратушинская. Одесситы (1998)] [омонимия не снята]
 забыв о своей критической профессии, ; без удержу ; расхваливал «Блондина обеего цвета ;2002 ;художественная ;роман ;книга ;  Впрочем, я образумился-таки и, забыв о своей критической профессии, без удержу расхваливал «Блондина обеего цвета».  [Владимир Соловьев. Три еврея, или Утешение в слезах. Роман с эпиграфами (1975-1998)] [омонимия не снята]
 узде, с такой стремительностью и ; без удержу ; строите Вы свою советскую ;2002 ;художественная ;роман ;книга ; или «Трагическое миросозерцанье тем плохо, что оно высокомерно», за которые Вы заслужили куда более серьезного выебона, нежели мой, потому что даже стыд перестал Вас уже удерживать в узде, с такой стремительностью и без удержу строите Вы свою советскую поэтическую карьеру.  [Владимир Соловьев. Три еврея, или Утешение в слезах. Роман с эпиграфами (1975-1998)] [омонимия не снята]
  Все мелочное Солипуд крал ; без удержу ;: таблетки, ампулы, валерьянку, даже ;1999 ;художественная ;роман ;книга ; Все мелочное Солипуд крал без удержу: таблетки, ампулы, валерьянку, даже бинты, и даже вдруг костыль ? да, да, от погибшего Головастенки оставался здесь сиротливый костылик, так ведь пропал!  [Владимир Маканин. Андеграунд, или герой нашего времени (1996-1997)] [омонимия не снята]
 простор, что так и несет ; без удержу ;.  ;1999 ;художественная ;роман ;книга ; И рвется отовсюду, и повсюду мечется, будто и хочет пристанище отыскать, но такой простор, что так и несет без удержу.  [Олег Павлов. Дело Матюшина (1996)] [омонимия не снята]
 нестройный звон бокалов, все танцевали ; без удержу ;, а на сцене стоял ;2002 ;художественная ;роман ;книга ; Произносились многочисленные тосты, за которыми следовал нестройный звон бокалов, все танцевали без удержу, а на сцене стоял скособочившись известный в то время эстрадный певец Матвей Матвеев, совершенно упившийся, и надрывно пел «Были когда-то и вы рысаками», горестно наблюдая за своей красавицей женой, готовой отдаться любому пригласившему ее танцевать мужику.  [Борис Левин. Блуждающие огни (1995)] [омонимия не снята]
 и Чжан ? приуныл и запил ; без удержу ;.  ;2002 ;художественная ;рассказ ;книга ; Вот и Чжан ? приуныл и запил без удержу.  [Виктор Пелевин. СССР Тайшоу Чжуань (1991)] [омонимия не снята]
 А у Лыжина все было ; без удержу ;: понравилась какая-то идея, так ;1986 ;художественная ;роман ;книга ; А у Лыжина все было без удержу: понравилась какая-то идея, так возможно ? невозможно, реально ? нереально, ? ему на все наплевать, носится с этой идеей, как дурень с писаной торбой, пока не упрется в стену.  [Аркадий Вайнер, Георгий Вайнер. Лекарство против страха (1987)] [омонимия не снята]
 к их свету уже бегом, ; без удержу ; скакали через улицы и ;1979 ;публицистика, нехудожественная ;мемуары ;книга ;только  что написанные картины, еще издали обдавали нас очарованием, что мы к их свету уже бегом, без удержу скакали через улицы и надолго замирали от восторгов… И эти восторги обуревали нас долго!  [К. А. Куприна. Куприн -- мой отец (1979)] [омонимия не снята]
 орудие через пролом поволокешь, когда ; без удержу ; наизнанку выворачивает?  ;1972 ;художественная ;роман ;книга ; Ну как в таком положении орудие через пролом поволокешь, когда без удержу наизнанку выворачивает?  [Юрий Бондарев. Берег (1975)] [омонимия не снята]
 горяч же Сысоев до работы, ; без удержу ;!  ;1970 ;публицистика ,  нехудожественная ;статья ;журнал ; Ох, и горяч же Сысоев до работы, без удержу!  [Галина Куликовская. Семейная арифметика // «Огонек». № 6, 1970] [омонимия не снята]
  Потом она ; без удержу ; болтала, злословила в адрес ;1970 ;художественная ;повесть ;журнал ; Потом она без удержу болтала, злословила в адрес Ольги, рассказывала о Владике, который, находясь на практике в Севастополе, ежедневно присылал Ольге длиннющие письма до востребования, а вернувшись из Севастополя, с вокзала заехал сразу не домой, а к ней, в общежитие.  [коллективный. Тайник // «Огонек». №№ 5-6, 8-13, 1970] [омонимия не снята]
   ? Уж ; без удержу ; тру Всю рожу как ;1983 ;художественная ;повесть ;книга ;  ? Уж без удержу тру Всю рожу как рашпилем надрал, товарищ лейтенант.  [Юрий Бондарев. Горячий снег (1969)] [омонимия не снята]
  А рука ныла ; без удержу ;, по-дурному ныла, накатами ;1977 ;художественная ;повесть ;книга ; А рука ныла без удержу, по-дурному ныла, накатами, и Комелькову он схоронил плохо.  [Борис Васильев. А зори здесь тихие (1969)] [омонимия не снята]
 охваченная гневом Динка неслась вперед ; без удержу ;, без препоны.  ;2003 ;художественная ;роман ;книга ;  Но плотина была уже прорвана, и охваченная гневом Динка неслась вперед без удержу, без препоны.  [Валентина Осеева. Динка прощается с детством (1969)] [омонимия не снята]
 то плакать хочется, то смеешься ; без удержу ;… Некоторые песни Рада уже ;2004 ;художественная ;роман ;книга ; И вот что странно: ни одного слова не понять, а слушаешь и — то плакать хочется, то смеешься без удержу… Некоторые песни Рада уже запомнила и теперь пыталась подпевать.  [Аркадий Стругацкий, Борис Стругацкий. Обитаемый остров (1967-1969)] [омонимия не снята]
 в иные времена и хвалимого ; без удержу ; по всем горизонтам.  ;2000 ;бытовая, нехудожественная ;дневник, записные книжки ;журнал ; Судьба “Одного дня” куда завиднее любого произведения, одобренного сверху в иные времена и хвалимого без удержу по всем горизонтам.  [А. Т. Твардовский. Рабочие тетради 60-х годов (1964) // «Знамя», 2000] [омонимия не снята]
 тут обстоятельность, когда бегут поезда ; без удержу ;, хлопают двери в купе ;1990 ;художественная ;рассказ ;книга ;  Ах, теперь бы вспомнить все подробно, мимоходом коснуться времени Петра Великого или даже Владимира Мономаха, обстоятельно предъявить героев, но разве тут все вспомнишь ? какая тут обстоятельность, когда бегут поезда без удержу, хлопают двери в купе, впуская и выпуская пассажиров, и не задерживаются люди с тобой, уходя на привокзальные площади к столбикам автобусных остановок, исчезая на размытых дорогах деревень, утопая в сером дождике времени. [Б. Б. Вахтин. Так сложилась жизнь моя... (1960-1963)] [омонимия не снята]
